"country","ghe_ge","ghe_pc","ope_he_pc"
"Afghanistan",9.4,9.64,146
"Algeria",6.22,634,314
"Antigua and Barbuda",5.23,780,414
"Armenia",10,128,874
"Australia",9.28,3460,887
"Austria",10.3,4300,1080
"Azerbaijan",3.51,168,461
"Bahamas",6.25,1010,545
"Bahrain",4.13,1150,587
"Bangladesh",2.34,18.6,81
"Barbados",6.56,539,560
"Belarus",5.64,797,283
"Belgium",10.3,4100,1030
"Bolivia",6.3,353,115
"Botswana",5.85,844,36.1
"Brazil",9.51,638,422
"Brunei",2.41,1860,94.9
"Bulgaria",7.35,942,662
"Burkina Faso",5.63,47.5,40
"Burundi",7.74,16.2,16.8
"Canada",10.8,3820,766
"Cape Verde",5.36,240,112
"Central African Republic",11,6.07,40.4
"Comoros",4.59,12.4,100
"Congo, Rep.",2.14,46.1,65.6
"Cote d'Ivoire",4.19,50.8,69.5
"Croatia",6.83,1560,197
"Czech Republic",7.65,2510,431
"Denmark",10.1,4860,798
"Djibouti",2.32,66.9,39
"Dominica",6.59,460,230
"Egypt",4.95,176,382
"Equatorial Guinea",3,138,525
"Eritrea",4.09,11.5,35.9
"Estonia",6.69,1790,599
"Eswatini",6.54,229,78.4
"Ethiopia",3.3,15.6,23.6
"Fiji",3.42,254,52.8
"Finland",9.04,3500,821
"Georgia",7.11,314,379
"Germany",11.4,4740,771
"Greece",7.72,1220,853
"Grenada",4.46,265,378
"Guinea",3.93,18,66.2
"Guyana",5.94,317,166
"Indonesia",2.87,185,131
"Italy",8.67,2680,853
"Japan",11,3790,574
"Kenya",5.17,75.5,42.3
"Kiribati",12.1,212,0.275
"Kuwait",5,3230,397
"Kyrgyz Republic",6.53,111,136
"Latvia",6.19,1130,746
"Lebanon",8.35,543,361
"Libya",NA,NA,NA
"Liechtenstein",NA,NA,NA
"Lithuania",6.57,1520,732
"Luxembourg",5.29,5140,633
"Madagascar",4.79,28.3,22.2
"Malawi",9.33,34.5,13.4
"Malaysia",3.76,611,419
"Mali",3.88,25.4,30.5
"Malta",8.96,2470,1340
"Marshall Islands",17.6,294,72.5
"Mauritania",4.58,68.2,98.9
"Mexico",5.37,534,448
"Montenegro",8.42,1030,678
"Morocco",5.31,188,219
"Mozambique",8.17,24.9,11.4
"Myanmar",4.79,43.3,223
"Namibia",7.95,407,74.4
"Nepal",5.84,45.2,91.6
"Netherlands",9.97,3660,608
"New Zealand",9.21,3010,520
"Nicaragua",8.56,283,156
"Nigeria",3.89,34.6,178
"North Macedonia",6.58,615,452
"Norway",10,5820,976
"Oman",4.13,1520,104
"Pakistan",3.2,63.3,100
"Palau",10.9,1180,345
"Palestine",NA,NA,NA
"Panama",7.27,1190,533
"Paraguay",6.65,409,424
"Peru",5.24,480,223
"Poland",6.33,1430,419
"Portugal",9.41,1990,957
"Qatar",2.49,2360,302
"Samoa",5.21,256,41.9
"San Marino",7.14,3640,656
"Sao Tome and Principe",6.27,94,32.1
"Saudi Arabia",6.36,2200,506
"Senegal",3.98,34.8,81.8
"Seychelles",5.11,1150,365
"Sierra Leone",16.1,25,115
"Singapore",4.46,2230,1380
"Slovak Republic",6.69,1730,412
"South Korea",7.56,1880,1040
"Spain",8.98,2520,793
"St. Kitts and Nevis",5.31,724,755
"St. Lucia",4.4,288,283
"St. Vincent and the Grenadines",4.47,375,156
"Sudan",4.51,66.9,194
"Sweden",10.9,4960,803
"Switzerland",11.9,2530,2270
"Tanzania",3.63,48.3,27
"Timor-Leste",4.33,214,25
"Togo",6.17,18.6,61.6
"Turkey",4.12,906,205
"Turkmenistan",6.61,231,973
"Tuvalu",19,605,3.89
"Uganda",6.53,22.1,53.5
"United Arab Emirates",4.23,1640,403
"United States",16.9,5360,1150
"Uruguay",9.2,1580,368
"Vanuatu",3.37,69,9.77
"Venezuela",3.56,183,146
"Vietnam",5.92,201,198
"Yemen",NA,NA,NA
"Zambia",4.93,81.5,20.8
